SourceID,Geographic_scope,Title,Author1,Author2,Author3,Year,Publisher,Link
1,Global,World Atlas of Mangroves,M. Spalding,M. Kainuma,L. Collins,2010,"Earthscan, UK, USA",
2,Global,Status and global distribution of mangrove forests of the world using earth observation satellite data,C. Giri,E. Ochieng,et al.,2010,Gloal Ecology and Biogeography,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1466-8238.2010.00584.x?casa_token=9uCiUKWDWgAAAAAA:1kpoPhwBkY5cIKbgjl-07jdflEEVmjzP45pmwoDiHL0bLYroFxHERaIj931ruv03-PlT_UVC6jOHjn69
3,Global,The role of freezing in setting the latitudinal limits of mangrove forests,S. A. Stuart,B. Choat,et al.,2007,New Phytologist,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1469-8137.2006.01938.x
4,Global,Mangrove expansion and salt marsh decline at mangrove poleward limits,N. Saintilan,N. C. Wilson,et al.,2013,Global Change Biology,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.12341?casa_token=Sdw2SJrr65QAAAAA:XYCq4iJANah0G1uauYUxQQb-RGUWKopNiqtGobhVknSJkQCZ6Hs0wpM9s-LRW77jX3H5cL1PT2ToYMK1
5,Western South Atlantic,Southern limit of the Western South atlantic mangroves: Assessment of the potential effects of global warming from a biogeographical perspective,M. L. G. Soares,G. C. D. Estrada,et al.,2012,"Estuarine, Coastal and Shelf Science",https://www.sciencedirect.com/science/article/pii/S0272771412000558
6,Brunei,"A study of the vertical zonation of intertidal fungi on Rhiziphora apiculata at Kampong Kapok mangrove, Brunei",K. D. Hyde,,,1990,Aquatic Botany,https://www.sciencedirect.com/science/article/pii/030437709090039N
7,South America,Mangrove Swamp Communities,K. Rutzler,C. Feller,,1988,Oceanus,https://repository.si.edu/bitstream/handle/10088/7880/iz_Ruetzler_Feller_1988.pdf
8,Hong Kong,"Mapping the distribution of mangrove species in the Core Zone of Mai Po Marshes Nature Reserve, Hong Kong, using hyperspectral data and high-resolution data",M. Jia,Y. Zhang,et al.,2014,International Journal of Applied Earth Observation and Geoinformation,https://www.sciencedirect.com/science/article/pii/S0303243414001391
9,Pitcairn Islands,The Plant Communities and Environmental Gradients of Pitcairn Island: The Significance of Invasive Species and the Need for Conservation Management,N. Kingston,S. Waldren,,2003,Annals of Botany,https://academic.oup.com/aob/article/92/1/31/177638
10,Pacific Islands,Pacific Island Mangroves: Distribution and Environmental Settings,C.D. Woodroffe,,,1987,Pacific Science,https://pdfs.semanticscholar.org/73c9/569c1a9579f310a3a5f87688236f9cbc8f18.pdf
11,Global,Chapter 1: The Mangrove Ecosystem,J. H. Primavera,D. A. Friess,et al.,2019,World Seas: an Environmental Evaluation (Second Edition),https://www.sciencedirect.com/science/article/pii/B9780128050521000012
12,West Africa,Mangroves at their limits: detection and area estimation of mangroves along the Sahara Destert Coast,V. Otero,K. Quisthoudt,et al.,2016,Remote Sensing,https://www.researchgate.net/publication/304186683_Mangroves_at_Their_Limits_Detection_and_Area_Estimation_of_Mangroves_along_the_Sahara_Desert_Coast
13,West Africa,The mangrove vegetation of the Atlantic Coast of Africa: A Review,P. Saneger,M. F. Bellan,,1995,"Universite de Toulouse, France",https://epubs.scu.edu.au/cgi/viewcontent.cgi?referer=https://scholar.google.co.uk/&httpsredir=1&article=1670&context=esm_pubs
14,"St. Helena, Ascencion, Tristan da Cunha",Global Forest Resources Assessment 2010 - Country Report Saint Helena,"Forestry Department, FAO",,,2010,FRA2010/176,http://www.fao.org/3/al611E/al611E.pdf
15,Pacific Islands,Pacific Island Mangroves in a Changing Climate and Rising Sea,UNEP,,,2006,UNEP Regional Seas Reports and Studies No. 179,https://wedocs.unep.org/bitstream/handle/20.500.11822/11812/rsrs179.pdf?sequence=1
16,Caribbean,"Anthropogenic Disturbance of Caribbean mangrove ecosystems: Past impacts, present trends, and future predictions",A. M. Ellison,E. J. Farnsworth,,1996,Biotropica,https://www.jstor.org/stable/pdf/2389096.pdf?casa_token=XoBWi3WaapYAAAAA:bIBlEZWEAq518U8lxH8LHuEgruXVdO25LbXUO7AjMAV9CTHBrBrajiOyNYcErkbWX0q1dm-tZpw04fJ10PP3wg91LQyElb2fnsm0wVu5uz7VI4BRY1Er
17,Global,World Atlas of Coral Reefs,M. D. Spalding,C. Ravilious,E. P. Green,2001,University California Press,
18,Australia,"Distinct characteristics of canopy gaps in the subtropical mangroves of Moreton Bay, Australia",A. A. Amir,N. C. Duke,,2019,"Estuarine, Coastal and Shelf Science",https://www.sciencedirect.com/science/article/pii/S0272771418301343
19,Caribbean,Mangrove Ecosystems of Latin American and the Caribbean: a Summary,Lacerda,Conde,et al.,2017,UNEP,http://wedocs.unep.org/bitstream/handle/20.500.11822/19955/Mangrove_ecosystems_of_Latin_America_and_the_C.pdf?sequence=1&isAllowed=y
20,Myanmar,Prediction of recovery pathways of cyclone-disturbed mangroves in the mega delta of Myanmar,TT Aung,Y Mochida,et al.,2013,Froest ecology and management,https://www.sciencedirect.com/science/article/pii/S0378112712007657
